Content Fulfillment Status,Content Date Fulfilled,Content Topic,Content Link,Account Manager,Opportunity Name,Account Name,Billing State/Province,type,Account Charter Number,certNumber
Posted,10/1/15,403b plans,http://www.aaeccu.com/newsletter.php,Hallie Pond,A.A.E.C. Credit Union-Content-Existing Business,A.A.E.C. Credit Union,IL,cu,60648-cu,60648
Posted,5/21/15,Teaching Kids Money Skills,http://blog.abbybank.com/how-to-teach-your-kids-good-saving-skills/,Hallie Pond,Abby Bank-Content-New Business,Abby Bank,WI,bk,19795-bk,19795
Posted,4/23/15,,http://blog.abbybank.com/budget-skills-can-help-kids-become-financially-secure-adults/,Hallie Pond,Abby Bank-None-New Business,Abby Bank,WI,bk,19795-bk,19795
Posted,3/30/15,HELOC,https://www.aerofed.net/blog/2015/03/30/advantages-home-equity-loans-nerd-wallet-guest-blog/,Hallie Pond,AERO Federal Credit Union-Content-Existing Business,AERO Federal Credit Union,AZ,cu,12164-cu,12164
Posted,3/30/15,,https://www.aerofed.net/blog/2015/03/30/advantages-home-equity-loans-nerd-wallet-guest-blog/,Hallie Pond,AERO Federal Credit Union-None-New Business,AERO Federal Credit Union,AZ,cu,12164-cu,12164
Posted,5/4/15,,https://www.myaffinitybank.com/uploads/docs/Winter2015.pdf,Hallie Pond,Affinity Bank-None-New Business,Affinity Bank,GA,bk,57264-bk,57264
Posted,5/4/15,,https://www.myaffinitybank.com/uploads/docs/Winter2015.pdf,Hallie Pond,Affinity Bank-Content-Existing Business,Affinity Bank,GA,bk,57264-bk,57264
Posted,11/18/15,*5 Ways to Protect your Identity,https://www.myalliancebank.com/f8web/?uf=.//PDFs/5WaysToProtectYourIdentityOnlineAndOff_wHL.pdf,Hallie Pond,Alliance Bank-Mixed-New Business,Alliance Bank,IN,bk,197-bk,197
Posted,8/4/15,Best Ways to Save for your First Home,http://www.amblersav.com/ContentDocumentHandler.ashx?documentId=34844,Hallie Pond,Ambler Savings Bank-Content-New Business,Ambler Savings Bank,PA,bk,28701-bk,28701
Posted,9/24/15,Curtesy Pay - how it works and why you'll love it,http://ig.libertyonline.net/ImageGallery/Custom/cu1060/PDFs/oct15newsletter.pdf,Hallie Pond,AMERICO Federal Credit Union-Content-New Business,AMERICO Federal Credit Union,PA,cu,12752-cu,12752
Posted,11/3/15,Top 5 reasons for Mobile Banking,https://www.memberadviser.com/agcu/e_article003255137.cfm?x=b11,0,w,Hallie Pond,ASSEMBLIES OF GOD Credit Union-Content-Existing Business,ASSEMBLIES OF GOD Credit Union,MO,cu,62897-cu,62897
Posted,10/19/15,How to make the most of your e-banking,http://www.asteracu.com/about-us/blog,Hallie Pond,Astera Credit Union-Content-New Business,Astera Credit Union,MI,cu,60920-cu,60920
Posted,1/21/15,Add-On CDs,http://blog.bank5connect.com/money-management/how-do-add-on-certificates-of-deposit-work,Hallie Pond,BankFive-Content-Existing Business,BankFive,MA,bk,23286-bk,23286
Posted,6/4/15,Fraud Prevention,https://www.benchmarkbank.com/blog/detail/tips_to_prevent_identity_theft_and_fraud,Hallie Pond,Benchmark Bank-None-New Business,Benchmark Bank,TX,bk,19215-bk,19215
Posted,9/8/15,Parents setting a good example for kids,http://www.bhccu.org/2015/09/04/teaching-money-lessons-to-kids/,Hallie Pond,BLACKHAWK COMMUNITY Credit Union-Content-Existing Business,BLACKHAWK COMMUNITY Credit Union,WI,cu,66998-cu,66998
Posted,8/25/15,7 reasons to choose a community bank over a big bank,https://www.bonnevillebank.com/news.php,Hallie Pond,Bonneville Bank-Mixed-New Business,Bonneville Bank,UT,bk,22653-bk,22653
Posted,9/9/15,Mortgages for Med Students,https://www.capitolbank.com/about-news.htm,Hallie Pond,Capitol Bank-Content-New Business,Capitol Bank,WI,bk,34074-bk,34074
Posted,4/7/15,Homebuyers,https://www.carolinatrust.org/financial_education.aspx?a=viewPost&PostID=28100,Hallie Pond,CAROLINA TRUST Federal Credit Union-Content-Existing Business,CAROLINA TRUST Federal Credit Union,SC,cu,12361-cu,12361
Posted,4/21/15,,https://www.carolinatrust.org/financial_education.aspx?a=viewPost&PostID=28100,Hallie Pond,CAROLINA TRUST Federal Credit Union-None-New Business,CAROLINA TRUST Federal Credit Union,SC,cu,12361-cu,12361
