"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"State Street Bank And Trust Company","2111","2.89425299E8","1","14","State Street Bank And Trust Company"
"Auburnbank","36830","807062.0","1","35","Auburnbank"
"Robertson Banking Company","36732","264234.0","1","39","Robertson Banking Company"
"Phenix-Girard Bank","36867","175678.0","1","41","Phenix-Girard Bank"
"Merchants Bank Of Alabama","35055","259498.0","1","46","Merchants Bank Of Alabama"
"Traders & Farmers Bank","35565","363892.0","1","47","Traders & Farmers Bank"
"Bank Of Evergreen","36401","57037.0","1","49","Bank Of Evergreen"
"Community Spirit Bank","35582","138128.0","1","50","Community Spirit Bank"
"The Bank Of Vernon","35592","144196.0","1","51","The Bank Of Vernon"
"The Citizens Bank Of Winfield","35594","207269.0","1","52","The Citizens Bank Of Winfield"
"The Exchange Bank Of Alabama","35952","259358.0","1","54","The Exchange Bank Of Alabama"
"United Bank","36502","516965.0","1","58","United Bank"
"Peoples Exchange Bank Of Monroe County","36460","59358.0","1","70","Peoples Exchange Bank Of Monroe Coun"
"Central State Bank","35040","211500.0","1","72","Central State Bank"
"Banksouth","36303","170439.0","1","77","Banksouth"
"Warren Bank And Trust Company","71671","138388.0","1","81","Warren Bank And Trust Company"
"First Bank","71744","360005.0","1","88","First Bank"
"Signature Bank Of Arkansas","72703","491058.0","1","89","Signature Bank Of Arkansas"
"Commercial Bank & Trust Company","71655","186887.0","1","90","Commercial Bank & Trust Company"
"Allied Bank","72947","98602.0","1","91","Allied Bank"
"Riverside Bank","71763","58390.0","1","93","Riverside Bank"
"First State Bank Of Warren","71671","104933.0","1","94","First State Bank Of Warren"
"Bank Of Delight","71940","85757.0","1","99","Bank Of Delight"
"Bank Of Prescott","71857","80799.0","1","101","Bank Of Prescott"
"Bank Of Cave City","72521","97060.0","1","105","Bank Of Cave City"
"The Merchants & Planters Bank","72029","48337.0","1","107","The Merchants & Planters Bank"
"Horatio State Bank","71842","153446.0","1","109","Horatio State Bank"
"Bank Of The Ozarks","72223","8701082.0","1","110","Bank Of The Ozarks"
"Seacoast National Bank","34994","3233514.0","1","131","Seacoast National Bank"
"Century Bank And Trust","31061","224465.0","1","147","Century Bank And Trust"
"Bank Of Madison","30650","206101.0","1","148","Bank Of Madison"
"Bank Of Hazlehurst","31539","114721.0","1","149","Bank Of Hazlehurst"
"Bank Of Alapaha","31622","134903.0","1","155","Bank Of Alapaha"
"Exchange Bank","31061","227079.0","1","160","Exchange Bank"
"First National Bank Of Griffin","30224","240020.0","1","169","First National Bank Of Griffin"
"The Peoples Bank Of Talbotton","31827","49273.0","1","170","The Peoples Bank Of Talbotton"
"United Bank","30295","1122522.0","1","172","United Bank"
"The Commercial Bank","30630","124035.0","1","175","The Commercial Bank"
"Talbot State Bank","31836","70257.0","1","178","Talbot State Bank"
"The Merchants & Citizens Bank","31055","104647.0","1","183","The Merchants & Citizens Bank"
"The Heritage Bank","31313","542450.0","1","193","The Heritage Bank"
"The Citizens Exchange Bank","46928","59626.0","1","195","The Citizens Exchange Bank"
"Alliance Bank","47946","302955.0","1","197","Alliance Bank"
"Tri-County Bank & Trust Company","46172","191854.0","1","210","Tri-County Bank & Trust Company"
"Washington State Bank","52353","233092.0","1","214","Washington State Bank"
"Manson State Bank","50563","38734.0","1","223","Manson State Bank"
"Peoples Savings Bank","52621","35456.0","1","225","Peoples Savings Bank"
"Guthrie County State Bank","50216","113444.0","1","226","Guthrie County State Bank"
"American State Bank","51250","711127.0","1","228","American State Bank"
"Community State Bank","51301","148487.0","1","230","Community State Bank"
"Commercial Savings Bank","51401","155235.0","1","231","Commercial Savings Bank"
"Solon State Bank","52333","87905.0","1","232","Solon State Bank"
"Pocahontas State Bank","50574","99962.0","1","234","Pocahontas State Bank"
"Security State Bank","51058","113796.0","1","235","Security State Bank"
"Raccoon Valley Bank","50220","228495.0","1","245","Raccoon Valley Bank"
"State Savings Bank","50265","113594.0","1","248","State Savings Bank"
"Columbus Junction State Bank","52738","52319.0","1","249","Columbus Junction State Bank"
"Valley Bank & Trust","51034","72143.0","1","251","Valley Bank & Trust"
"Pinnacle Bank","50158","190460.0","1","252","Pinnacle Bank"
"Luana Savings Bank","52156","733456.0","1","253","Luana Savings Bank"
"First Whitney Bank And Trust","50022","211495.0","1","254","First Whitney Bank And Trust"
"Farmers And Merchants Savings Bank","52172","146523.0","1","255","Farmers And Merchants Savings Bank"
"Melvin Savings Bank","51350","62433.0","1","256","Melvin Savings Bank"
"Stock Yards Bank & Trust Company","40232","2479934.0","1","258","Stock Yards Bank & Trust Company"
"Citizens Bank","40456","143520.0","1","262","Citizens Bank"
"Farmers Deposit Bank","41031","133061.0","1","266","Farmers Deposit Bank"
"Kentucky Farmers Bank Corporation","41129","173397.0","1","267","Kentucky Farmers Bank Corporation"
"Morgantown Bank & Trust Company, Incorporated","42261","159964.0","1","275","Morgantown Bank & Trust Company, Incorporated"
