src_url_tx,src_prod_nm,name,isBlog,type,certNumber
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Missouri,Barclays57203IBCD48,Barclays,0,IB,57203
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Missouri,Community First Bank10595BKCD60,Community First Bank,0,BK,10595
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Missouri,Alliance Credit Union63789CUCD36,Alliance Credit Union,0,CU,63789
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Missouri,Mississippi County Savings & Loan Association30526SLCD12,Mississippi County Savings & Loan Association,0,SL,30526
https://www.nerdwallet.com/checking-accounts/details/aplus-federal-credit-union-free-cash-back-checking-plus,A+ Federal Credit Union6178CUINTCK,A+ Federal Credit Union,0,CU,6178
http://www.nerdwallet.com/checking-accounts/details/692-bbva-compass-nba-checking,BBVA Compass19048BKINTCK,BBVA Compass,0,BK,19048
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Security Service Federal Credit Union11065CUCD24,Security Service Federal Credit Union,0,CU,11065
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Compass Bank19048BKCD48,Compass Bank,0,BK,19048
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,CIT Bank35575IBCD12,CIT Bank,0,IB,35575
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,US Bank National Association6548BKCD60,US Bank National Association,0,BK,6548
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Wray State Bank22447BKCD48,Wray State Bank,0,BK,22447
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Security Service Federal Credit Union11065CUCD60,Security Service Federal Credit Union,0,CU,11065
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Eloan.com34967IBCD12,Eloan.com,0,IB,34967
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Gulf Coast Bank & Trust Company32974IBCD12,Gulf Coast Bank & Trust Company,0,IB,32974
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Compass Bank19048BKCD12,Compass Bank,0,BK,19048
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Habib American Bank25093BKCD12,Habib American Bank,0,BK,25093
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Ent Federal Credit Union11570CUCD60,Ent Federal Credit Union,0,CU,11570
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,MySavingsDirect12054IBCD6,MySavingsDirect,0,IB,12054
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,MidFirst Bank4063BKCD12,MidFirst Bank,0,BK,4063
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Bellco Credit Union68437CUCD6,Bellco Credit Union,0,CU,68437
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Compass Bank19048BKCD6,Compass Bank,0,BK,19048
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,First National Bank5452BKCD48,First National Bank,0,BK,5452
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,Merrill Lynch0BRCD12,Merrill Lynch,0,BR,0
http://www.nerdwallet.com/rates/CDs/Best-CD-Rates/Denver-CO,TIAA Direct34723IBCD48,TIAA Direct,0,IB,34723
https://www.nerdwallet.com/checking-accounts/details/94-patelco-credit-union-free-checking,Patelco Credit Union68579CUINTCK,Patelco Credit Union,0,CU,68579
